meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,region,cost_per_serving_in_inr
Kaara kozhambu,"Tamarind, Vegetables, Spices",150,15,3,8,Vegetarian,,1 bowl,Tamil Nadu,25
Kanji,Rice Water,50,10,1,0,Vegetarian,,1 glass,Kerala,10
Keerai koottu,"Spinach, Lentils, Coconut, Spices",150,15,5,5,Vegetarian,,1 bowl,Tamil Nadu,25
Keerai masiyal,"Spinach, Lentils, Spices",130,10,5,3,Vegetarian,,1 bowl,Tamil Nadu,20
Keerai poriyal,"Spinach, Coconut, Spices",100,8,2,5,Vegetarian,,1 bowl,Tamil Nadu,15
Keerai sadam,"Spinach, Rice, Spices",200,30,5,5,Vegetarian,,1 plate,Tamil Nadu,30
Kerala Beef Fry,"Beef, Spices",350,15,25,20,Non-Vegetarian,,1 bowl,Kerala,120
Kodubale,"Rice Flour, Spices",80,10,1,3,Vegetarian,snacks,4 pieces,Karnataka,15
Kolhapuri akkha masoor Dal,"Masoor Dal, Spices",200,25,10,5,Vegetarian,,1 bowl,Maharashtrian,30
Koottu,"Mixed Vegetables, Lentils, Coconut, Spices",150,15,5,5,Vegetarian,,1 bowl,Tamil Nadu,25
Kori rotti,"Chicken, Rice Roti",400,40,20,20,Non-Vegetarian,,1 plate,Karnataka,150
Kos kootu,"Carrot, Coconut, Spices",100,10,2,5,Vegetarian,,1 bowl,Tamil Nadu,15
Koshambri,"Cucumber, Lentils, Coconut, Spices",80,10,3,3,Vegetarian,salad,1 bowl,Karnataka,15
Kothamali sadam,"Coriander, Rice, Spices",200,30,5,5,Vegetarian,,1 plate,Tamil Nadu,30
Kuzhakkattai,"Rice Flour, Jaggery",150,20,2,8,Vegetarian,,2 pieces,Tamil Nadu,20
Kuzhambu,"Tamarind, Vegetables, Spices",150,15,3,8,Vegetarian,,1 bowl,Tamil Nadu,25
Masala Dosa,"Dosa, Potato, Spices",200,25,5,8,Vegetarian,breakfast,1 dosa,South Indian,30
Nandu omelette,"Crab, Egg, Spices",200,5,15,12,Non-Vegetarian,breakfast,1 omelette,Tamil Nadu,80
"Obbattu (holige, bobbattu, pooran-poli)","Lentils, Jaggery, Wheat Flour",300,35,5,15,Vegetarian,dessert,1 piece,Karnataka/Maharashtra,40
Olan,"Pumpkin, Coconut Milk, Spices",100,10,2,5,Vegetarian,,1 bowl,Kerala,15
Pachadi,"Vegetables, Yogurt, Spices",80,10,3,3,Vegetarian,side dish,1 bowl,Kerala,15
Paniyaram,"Lentils, Rice Flour, Spices",100,15,2,3,Vegetarian,breakfast,4 pieces,Tamil Nadu,20
Paddu,"Lentils, Rice Flour, Spices",100,15,2,3,Vegetarian,breakfast,4 pieces,Karnataka,20
Gujiya,"Refined flour, Dry fruits, Sugar",250,30,5,10,Vegetarian,dessert,2 pieces,North Indian,30
Pesarattu,"Green Gram, Rice Flour",120,15,5,2,Vegetarian,breakfast,1 dosa,Andhra Pradesh,20
Ragi mudde,Finger Millet Flour,100,20,3,1,Vegetarian,,1 mudde,Karnataka,15
Rasam,"Tamarind, Tomato, Spices",50,10,1,0,Vegetarian,,1 bowl,South Indian,10
Sambar,"Lentils, Vegetables, Tamarind, Spices",150,15,5,5,Vegetarian,,1 bowl,South Indian,25
Thali,"Rice, Lentils, Vegetables, Spices",400,40,15,15,Vegetarian,,1 plate,All India,80
Upma,"Semolina, Vegetables, Spices",200,30,5,5,Vegetarian,breakfast,1 plate,South Indian,30
Vada,"Lentils, Spices",100,15,3,3,Vegetarian,snacks,2 pieces,South Indian,15
Vangi Bath,"Rice, Eggplant, Spices",300,35,8,12,Vegetarian,,1 plate,Karnataka,45
Vindaloo,"Meat, Vinegar, Spices",400,20,25,25,Non-Vegetarian,,1 bowl,Goan,100
Zunka,"Besan, Onion, Spices",150,20,5,5,Vegetarian,,1 bowl,Maharashtrian,25
Murukku,"Rice Flour, Urad Dal Flour, Spices",80,10,2,3,Vegetarian,snacks,4 pieces,Tamil Nadu,15
Samosa,"Refined Flour, Potato, Peas, Spices",150,20,3,8,Vegetarian,snacks,1 samosa,North Indian,10
Chana Jor Garam,"Black Chickpeas, Spices",100,15,5,2,Vegetarian,snacks,1 cup,North Indian,15
Aloo Tikki,"Potato, Spices",120,15,2,5,Vegetarian,snacks,2 tikkis,North Indian,15
Vada Pav,"Potato, Gram Flour, Spices, Pav",350,40,8,18,Vegetarian,,1 vada pav,Maharashtrian,30
Dhokla,"Besan, Semolina, Spices",150,15,4,5,Vegetarian,breakfast/snacks,4 pieces,Gujarati,10
Pav Bhaji,"Potato, Mixed Vegetables, Spices, Pav",400,45,9,20,Vegetarian,,1 plate,North Indian,40
Mirchi Bajji,"Chili, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,2 pieces,Andhra Pradesh/Maharashtra,15
Poha,"Flattened Rice, Onion, Spices",200,30,5,5,Vegetarian,breakfast,1 plate,Maharashtrian,25
Sundal,"Chickpeas, Coconut, Spices",100,15,5,2,Vegetarian,snacks,1 bowl,Tamil Nadu,15
Mysore Bonda,"Urad Dal, Rice Flour, Spices",120,15,3,3,Vegetarian,snacks,2 bondas,Karnataka,20
Ghugni Chaat,"White Peas, Onion, Spices",150,20,6,3,Vegetarian,snacks,1 plate,Bengali,20
Banana Chips,"Banana, Oil, Salt",150,15,1,10,Vegetarian,snacks,1 cup,Kerala,20
Moong Dal Chilla,"Moong Dal, Spices",170,20,8,3,Vegetarian,breakfast/snacks,2 chillas,North Indian,18
Golgappa,"Semolina, Potato, Spices, Tamarind Water",100,15,2,3,Vegetarian,snacks,6 puris,North Indian,15
Pani Puri,"Semolina, Potato, Spices, Tamarind Water",100,15,2,3,Vegetarian,snacks,6 puris,North Indian,15
Papdi Chaat,"Refined Flour, Potato, Chickpeas, Yogurt, Spices",250,30,5,10,Vegetarian,snacks,1 plate,North Indian,30
Dahi Vada,"Lentil Fritters, Yogurt, Spices",200,25,8,8,Vegetarian,snacks,2 vadas,North Indian,25
Onion Pakoda,"Onion, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,4 pieces,North Indian,15
Bhaji,"Vegetables, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,2 pieces,Maharashtrian,15
Dal Vada,"Lentils, Spices",100,15,3,3,Vegetarian,snacks,2 vadas,South Indian,15
Masala Vada,"Lentils, Spices",100,15,3,3,Vegetarian,snacks,2 vadas,South Indian,15
Aloo Pakora,"Potato, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,2 pieces,North Indian,15
Aloo Bajji,"Potato, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,2 pieces,South Indian,15
Kanda Bhaji,"Onion, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,4 pieces,Maharashtrian,15
Paneer Pakora,"Paneer, Gram Flour, Spices",150,10,8,8,Vegetarian,snacks,2 pieces,North Indian,20
Moong Dal Pakoda,"Moong Dal, Spices",100,15,5,3,Vegetarian,snacks,4 pieces,North Indian,15
Kothimbir Vadi,"Coriander, Gram Flour, Spices",100,10,3,5,Vegetarian,snacks,4 pieces,Maharashtrian,15
Bread Roll,"Bread, Potato, Spices",150,20,4,5,Vegetarian,snacks,1 roll,North Indian,20
Maddur Vada,"Rice Flour, Semolina, Onion, Spices",120,15,3,3,Vegetarian,snacks,2 vadas,Karnataka,20
Balu Shahi,"Refined flour (maida), ghee, yogurt, sugar, baking soda, cardamom",152,24,0,5.9,Veg,Snacks,1 piece (40g),North India,20
Boondi,"Gram flour (besan), oil, sugar (for sweet version)",150,18,2.5,8,Veg,Snacks,30g,Pan India,15
Gajar ka Halwa,"Carrot, milk, sugar, ghee, cardamom, dry fruits",250,32,4,12,Veg,Dessert,100g,North India,40
Ghevar,"Refined flour (maida), ghee, sugar syrup, cardamom, saffron",300,45,3,12,Veg,Dessert,1 piece (120g),Rajasthan,50
Gulab Jamun,"Khoya, all-purpose flour, sugar, cardamom, rose water, ghee",175,30,3,5,Veg,Dessert,2 pieces (80g),Pan India,30
Imarti,"Urad dal, sugar, saffron, ghee",200,35,5,6,Veg,Dessert,1 piece (50g),North India,20
Jalebi,"All-purpose flour, sugar, saffron, ghee, yogurt",150,31,1.5,4,Veg,Dessert/Snacks,2 pieces (44g),Pan India,20
Kaju Katli,"Cashew nuts, sugar, ghee, cardamom",200,20,4,11,Veg,Dessert,2 pieces (40g),North India,40
Kalakand,"Milk, sugar, cardamom, ghee",180,25,5,7,Veg,Dessert,50g,North India,25
Kheer,"Milk, rice, sugar, cardamom, dry fruits",210,30,5,8,Veg,Dessert,100g,Pan India,25
Laddu,"Gram flour, ghee, sugar, cardamom, dry fruits",160,22,3,7,Veg,Dessert/Snacks,1 piece (40g),Pan India,15
Lassi,"Curd, sugar, cardamom, water, dry fruits",180,25,4,6,Veg,Beverage/Snacks,250 ml,North India,25
Nankhatai,"All-purpose flour, sugar, ghee, cardamom, baking soda",120,14,1,6,Veg,Snacks,1 piece (25g),North India,10
Petha,"Ash gourd, sugar, lime water, rose water",110,27,0,0,Veg,Dessert,2 pieces (60g),"Agra, North India",15
Phirni,"Milk, rice flour, sugar, cardamom, saffron",190,25,4,8,Veg,Dessert,100g,North India,25
Rabri,"Milk, sugar, cardamom, saffron, dry fruits",270,25,6,16,Veg,Dessert,80g,North India,30
Sheera,"Semolina, ghee, nuts, milk",250,30,5,12,Vegetarian,Breakfast,1 cup,West,30
Singori,"Khoa, coconut, molu leaf",180,20,4,8,Vegetarian,Dessert,1 piece,Uttarakhand,40
Sohan halwa,"Corn flour, ghee, dry fruits",320,40,6,16,Vegetarian,Dessert,1 piece,Punjab,50
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",280,35,4,14,Vegetarian,Dessert,1 piece,Maharashtra,45
Chhena jalebi,"Chhena, sugar, ghee",220,25,5,12,Vegetarian,Dessert,1 piece,Odisha,60
Chhena kheeri,"Chhena, sugar, milk",200,22,6,10,Vegetarian,Dessert,1 cup,Odisha,55
Chhena poda,"Sugar, chenna cheese",250,30,7,12,Vegetarian,Dessert,1 slice,Odisha,70
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",280,32,6,14,Vegetarian,Dessert,1 piece,West Bengal,65
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",240,28,7,12,Vegetarian,Dessert,1 cup,Odisha,75
Ledikeni,"Chhena, sugar, ghee",230,26,5,13,Vegetarian,Dessert,1 piece,West Bengal,70
Lyangcha,"Flour, fried milk power, sugar syrup",260,30,4,14,Vegetarian,Dessert,1 piece,Assam,80
Malapua,"Yogurt, refined flour, ghee, fennel seeds",290,35,5.00,15.00,Vegetarian,Dessert,1 piece,Rajasthan,50
Mihidana,"Besan flour, sugar, ghee",270,32,4.00,14.00,Vegetarian,Dessert,1 cup,West Bengal,60
Misti Doi,"Milk, jaggery",190,22,6.00,8.00,Vegetarian,Dessert,1 cup,West Bengal,40
Pantua,"Chhena, sugar, ghee, flour",240,28,5.00,13.00,Vegetarian,Dessert,1 piece,West Bengal,65
Pithe,"Rice flour, wheat flour, coconut, jaggery",220,25,4.00,12.00,Vegetarian,Snack,2 pieces,Assam,50
Rasabali,"Chenna, sweetened milk",250,30,6.00,13.00,Vegetarian,Dessert,1 piece,Odisha,70
Ras Malai,"Chhena, reduced milk, pistachio",260,31,7.00,13.00,Vegetarian,Dessert,1 piece,West Bengal,80
Rasgulla,"Chhena, sugar, cardamom",150,20,4.00,6.00,Vegetarian,Dessert,2 pieces,West Bengal,50
Sandesh,"Milk, sugar, saffron, cardamom",180,22,5.00,8.00,Vegetarian,Dessert,2 pieces,West Bengal,55
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",240,28,3.00,13.00,Vegetarian,Dessert,1 piece,Tamil Nadu,60
Ariselu,"Rice flour, jaggery, ghee",230,27,3.00,12.00,Vegetarian,Dessert,1 piece,Andhra Pradesh,55
Bandar Laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins",260,30,5.00,14.00,Vegetarian,Dessert,1 piece,Andhra Pradesh,70
Chikki,"Peanuts, jaggery",200,25,6.00,8.00,Vegetarian,Snack,1 piece,Maharashtra,30.00
Dharwad Pedha,"Milk, Sugar",190,23.00,4.00,9.00,Vegetarian,Dessert,1 piece,Karnataka,45
Double ka Meetha,"Bread, milk, sugar, ghee, cardamom",350,45,5,18,Vegetarian,Dessert,1 piece,Hyderabadi,45
Gavvalu,"Rice flour, jaggery, ghee",220,30,3,10,Vegetarian,Snack,1/2 cup,Andhra,30
Kakinada Khaja,"Wheat flour, sugar, ghee",280,40,4,12,Vegetarian,Snack,1 piece,Andhra,35
Kuzhi Paniyaram,"Lentils, rice, spices",150,20,5,5,Vegetarian,Breakfast,3 pieces,Tamil Nadu,25
Mysore Pak,"Gram flour, ghee, sugar",380,40,5,22,Vegetarian,Dessert,1 piece,Karnataka,50
Obbattu Holige,"Wheat flour, lentils, jaggery, coconut",320,40,8,14,Vegetarian,Dessert,1 piece,Karnataka,40
Palathalikalu,"Rice flour, milk, sugar",200,25,4,8,Vegetarian,Dessert,1/2 cup,Andhra,30
Poornalu,"Lentils, jaggery, rice flour",250,35,6,10,Vegetarian,Snack,2 pieces,Andhra,30
Pongal,"Rice, lentils, ghee, pepper, cashews",280,35,7,12,Vegetarian,Breakfast,1 cup,Tamil Nadu,35
Pootharekulu,"Rice flour, sugar, ghee",180,25,2,8,Vegetarian,Dessert,1 piece,Andhra,40
Qubani ka Meetha,"Apricots, sugar, almonds",220,30,3,10,Vegetarian,Dessert,1/2 cup,Hyderabadi,40
Sheer Korma,"Vermicelli, milk, sugar, nuts, dates",300,35,8,14,Vegetarian,Dessert,1 cup,Hyderabadi,40
Unni Appam,"Rice flour, banana, jaggery, coconut",150,20,2,7,Vegetarian,Snack,2 pieces,Kerala,30
Kajjikaya,"Wheat flour, coconut, jaggery",240,30,4,12,Vegetarian,Snack,1 piece,Andhra,30
Anarsa,"Rice flour, jaggery, poppy seeds",230,30,3,11,Vegetarian,Snack,1 piece,Maharashtra,30
Basundi,"Milk, sugar, cardamom, nuts",250,30,7,10,Vegetarian,Dessert,1 cup,Maharashtra,35
Dhondas,"Cucumber, semolina, jaggery, coconut",180,25,3,7,Vegetarian,Snack,1 slice,Goa,30
Doodhpak,"Milk, rice, sugar, nuts",220,30,6,8,Vegetarian,Dessert,1 cup,Gujarat,30
Mahim Halwa,"Semolina, sugar, ghee",300,40,4,14,Vegetarian,Dessert,1 piece,Maharashtra,40
Modak,"Rice flour, coconut, jaggery",160,20,3,8,Vegetarian,Snack,2 pieces,Maharashtra,30
Shankarpali,"Wheat flour, sugar, ghee",200,25,3,10,Vegetarian,Snack,1/2 cup,Maharashtra,30
Shrikhand,"Yogurt, sugar, cardamom",200,25,8,8,Vegetarian,Dessert,1 cup,Gujarat,35
Sutar Feni,"Wheat flour, sugar, ghee",250,35,3,12,Vegetarian,Breakfast,1/2 cup,Maharashtra,35
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",280,15,20,12,Non-Vegetarian,Lunch,1 bowl,Bengal,75
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",350,10,25,22,Non-Vegetarian,Dinner,1 bowl,Assam,90
Chak Hao Kheer,"Black Rice, milk, sugar, cardamom",220,35,5,6,Vegetarian,Dessert,1 cup,Manipur,60
Galho,"Rice, axone, salt, water, chillies, pork",300,40,15,10,Non-Vegetarian,Lunch,1 bowl,Nagaland,80
Aloo Gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",180,25,5,6,Vegetarian,Lunch,1 bowl,North India,30
Aloo Tikki,"Potato, spices, breadcrumbs, oil",150,20,3,7,Vegetarian,Snack,2 pieces,North India,25
Aloo Matar,"Potato, peas, tomato, spices",200,30,5,7,Vegetarian,Lunch,1 bowl,North India,35
Aloo Methi,"Potato, fenugreek leaves, spices",160,22,4,6,Vegetarian,Lunch,1 bowl,North India,30
Aloo Shimla Mirch,"Potato, capsicum, spices",170,24,4,6,Vegetarian,Lunch,1 bowl,North India,32
Bhatura,"Refined flour, yogurt, oil",350,45,7,15,Vegetarian,Breakfast,1 piece,Punjab,40
Bhindi Masala,"Okra, onion, tomato, spices",140,15,4,7,Vegetarian,Lunch,1 bowl,North India,30
Biryani,"Rice, meat/vegetables, spices",450,50,20,18,Non-Vegetarian/Vegetarian,Dinner,1 plate,Mughlai,120
Butter Chicken,"Chicken, butter, cream, tomato, spices",490,20,30,35,Non-Vegetarian,Dinner,1 bowl,North India,90
Chana Masala,"Chickpeas, tomato, onion, spices",320,40,15,8,Vegetarian,Lunch,1 bowl,North India,40
Chapati,"Wheat flour, water",100,20,3,1,Vegetarian,Lunch/Dinner,1 piece,North India,10
Chicken Razala,"Chicken, yogurt, poppy seeds, spices",420,15,30,25,Non-Vegetarian,Dinner,1 bowl,Bengal,100
Chicken Tikka Masala,"Chicken tikka, tomato sauce, cream, spices",480,25,30,30,Non-Vegetarian,Dinner,1 bowl,North India,95
Chicken Tikka,"Chicken, yogurt, spices",250,5,30,12,Non-Vegetarian,Snack,2 pieces,North India,80
Chole Bhature,"Chickpeas, fried bread",500,60,15,25,Vegetarian,Breakfast,1 plate,Punjab,50
Daal Baati Churma,"Lentils, wheat bread, sweet crumble",600,70,20,25,Vegetarian,Lunch,1 plate,Rajasthan,60
Daal Puri,"Wheat flour, lentils, spices",250,30,8,10,Vegetarian,Breakfast,2 puris,UP/Bihar,30
Dal Makhani,"Black lentils, kidney beans, cream, butter, spices",350,25,15,20,Vegetarian,Dinner,1 bowl,Punjab,60
Dal Tadka,"Yellow lentils, onion, tomato, spices",220,35,10,5,Vegetarian,Lunch,1 bowl,North India,35
Dum Aloo,"Potatoes, yogurt, spices, cream",300,20,10,20,Vegetarian,Lunch,1 bowl,Kashmir,50
Poha,"Flattened rice, onion, spices, lemon",200,35,5,3,Vegetarian,Breakfast,1 plate,Maharashtra,25
Fara,"Rice flour, lentils, spices",220,30,7,6,Vegetarian,Snack,4 pieces,UP,30
Kachori,"Refined flour, lentils, spices",320,40,6,16,Vegetarian,Breakfast,1 piece,Rajasthan,35
Kadai Paneer,"Paneer, bell peppers, onion, tomato, spices",350,15,20,22,Vegetarian,Dinner,1 bowl,North India,60
Kadhi Pakoda,"Yogurt, gram flour, spices, fritters",280,25,8,15,Vegetarian,Lunch,1 bowl,North India,40
Karela Bharta,"Bitter gourd, onion, tomato, spices",150,15,5,8,Vegetarian,Lunch,1 bowl,North India,25
Khichdi,"Rice, lentils, vegetables, spices",250,35,10,5,Vegetarian,Lunch,1 bowl,North India,30
Kofta,"Potato, paneer, spices, cream",300,20,10,20,Vegetarian,Dinner,4 pieces,North India,50
Kulfi Falooda,"Milk, sugar, noodles, nuts",350,40,8,18,Vegetarian,Dessert,1 glass,North India,60
Lauki ke kofte,"Bottle Gourd, Gram Flour, Spices",200,20,5,10,Vegetarian,,2 koftas,North Indian,30
Lauki ki bhaaji,"Bottle Gourd, Spices",100,8,2,5,Vegetarian,,1 bowl,North Indian,15
Litti chokha,"Wheat Flour, Sattu, Brinjal, Potato, Tomato, Spices",320,40,10,10,Vegetarian,,1 plate,Bihari,40
Makhaan ka kheer,"Corn, Milk, Sugar",280,35,5,12,Vegetarian,dessert,1 bowl,Himachal Pradesh,50
"Makki ki roti, sarson ka saag","Corn Flour, Mustard Leaves, Spices",400,40,15,20,Vegetarian,,1 plate,Punjabi,60
Mathura ke pede,"Milk, Sugar",200,25,5,8,Vegetarian,dessert,2 pieces,UP,30
"Methi saag, chaulai saag","Fenugreek Leaves, Spinach, Spices",100,8,2,5,Vegetarian,,1 bowl,North Indian,15
Millet Lapsi,"Millet, Jaggery, Ghee",320,45,5,12,Vegetarian,dessert,1 bowl,Rajasthan,45
Mirchi Bada,"Chili, Potato, Spices",150,20,2,8,Vegetarian,snacks,1 piece,Rajasthan,20
Missi roti,"Gram Flour, Wheat Flour, Spices",150,20,5,3,Vegetarian,,1 roti,Rajasthani,20
Mixed vegetable,"Mixed Vegetables, Spices, Onion, Tomato",150,10,3,8,Vegetarian,,1 bowl,North Indian,25
Moong dal ki Lapsi,"Moong Dal, Jaggery, Ghee",320,45,5,12,Vegetarian,dessert,1 bowl,Rajasthan,45
Murgh musallam,"Chicken, Spices, Dry Fruits",600,20,40,40,Non-Vegetarian,,1 whole chicken,Awadhi,250
Mushroom do pyaza (Kanda Khumb),"Mushroom, Onion, Spices",200,10,8,12,Vegetarian,,1 bowl,North Indian,35
Mushroom matar (Matar Khumb),"Mushroom, Peas, Spices",180,10,8,10,Vegetarian,,1 bowl,North Indian,30
Naan,"Refined Flour, Yeast, Butter",200,30,5,5,Vegetarian,,1 naan,North Indian,25
Navrattan korma,"Mixed Vegetables, Dry Fruits, Cream, Spices",300,20,8,20,Vegetarian,,1 bowl,Mughlai,50
Pakhala,"Rice, Yogurt, Water",100,20,2,1,Vegetarian,,1 plate,Odia,15
Palak paneer,"Spinach, Paneer, Spices",250,10,15,15,Vegetarian,,1 bowl,North Indian,40
Paneer butter masala,"Paneer, Tomato, Butter, Cream, Spices",300,15,15,20,Vegetarian,,1 bowl,North Indian,50
Paneer tikka masala,"Paneer Tikka, Tomato Sauce, Cream, Spices",350,15,20,20,Vegetarian,,1 bowl,North Indian,60
Pani puri,"Semolina, Potato, Spices, Tamarind Water",100,15,2,3,Vegetarian,snacks,6 puris,North Indian,15
Panjeeri,"Wheat Flour, Sugar, Ghee, Dry Fruits",300,35,5,15,Vegetarian,dessert,1 bowl,Punjabi,40
Papad,"Lentil Flour, Spices",50,10,2,1,Vegetarian,snacks,1 papad,North Indian,5
Paratha,"Wheat Flour, Ghee",150,20,3,5,Vegetarian,,1 paratha,North Indian,20
Pattor,"Colocasia Leaves, Gram Flour, Spices",150,15,3,8,Vegetarian,,2 pieces,Himachal Pradesh,25
Phirni,"Rice, Milk, Sugar, Nuts",250,30,5,10,Vegetarian,dessert,1 bowl,North Indian,40
Pinni,"Wheat Flour, Sugar, Ghee, Dry Fruits",350,40,5,20,Vegetarian,dessert,1 piece,Punjabi,50
Rajma chaval,"Kidney Beans, Rice",300,40,10,8,Vegetarian,,1 plate,North Indian,40
Rajma,"Kidney Beans, Spices",200,25,10,3,Vegetarian,,1 bowl,North Indian,30
Ramatori bhaaji,"Ramatori, Spices",80,8,2,3,Vegetarian,,1 bowl,Uttarakhand,15
Lobiya,"Black Eyed Peas, Spices",180,20,8,5,Vegetarian,,1 bowl,North Indian,25
Samosa,"Refined Flour, Potato, Peas, Spices",150,20,3,8,Vegetarian,snacks,1 samosa,North Indian,10
Sattu ki roti,"Gram Flour, Wheat Flour, Spices",150,20,5,3,Vegetarian,,1 roti,Bihari,20
Shahi paneer,"Paneer, tomato, cream, cashews, spices",400,20,15,30,Vegetarian,Dinner,1 bowl,North India,70
Shahi tukra,"Bread, milk, sugar, ghee, saffron",350,45,5,18,Vegetarian,Dessert,1 piece,Hyderabadi,50
Vegetable jalfrezi,"Mixed vegetables, onion, tomato, spices",220,25,7,10,Vegetarian,Lunch,1 bowl,North India,40
Tandoori Chicken,"Chicken, yogurt, spices",250,3,27,13,Non-Vegetarian,Dinner,2 pieces,North India,80
Tandoori Fish Tikka,"Fish, yogurt, spices",200,5,25,8,Non-Vegetarian,Snack,4 pieces,North India,90
Attu,"Rice flour, lentils, spices",180,25,6,5,Vegetarian,Breakfast,1 dosa,Andhra Pradesh,25
Avial,"Mixed vegetables, coconut, yogurt, curry leaves",200,20,8,10,Vegetarian,Lunch,1 bowl,Kerala,30
Bisi bele bath,"Rice, lentils, vegetables, spices",300,35,10,12,Vegetarian,Lunch,1 bowl,Karnataka,40
Currivepillai sadam,"Rice, curry leaves, lentils, spices",250,35,7,8,Vegetarian,Lunch,1 plate,Tamil Nadu,35
Dosa,"Rice flour, lentils",150,20,5,5,Vegetarian,Breakfast,1 dosa,South India,20
Idiappam,"Rice flour, coconut milk",180,25,3,7,Vegetarian,Breakfast,2 pieces,Kerala,25
Idli,"Rice flour, lentils",100,15,4,2,Vegetarian,Breakfast,2 idlis,South India,15
Kanji,"Rice, water, spices",80,15,2,1,Vegetarian,Lunch,1 bowl,Tamil Nadu,20
Kaara kozhambu,"Tamarind, vegetables, spices",150,15,5,7,Vegetarian,Lunch,1 bowl,Tamil Nadu,25
Keerai kootu,"Spinach, lentils, coconut, spices",120,10,7,5,Vegetarian,Lunch,1 bowl,Tamil Nadu,20
Keerai masiyal,"Spinach, lentils, spices",100,8,6,4,Vegetarian,Lunch,1 bowl,Tamil Nadu,18
Keerai sadam,"Rice, spinach, spices",220,30,6,8,Vegetarian,Lunch,1 plate,Tamil Nadu,30
Keerai poriyal,"Spinach, coconut, spices",80,7,4,4,Vegetarian,Side Dish,1/2 cup,Tamil Nadu,15
Beef Fry,"Beef, onion, spices",350,10,25,22,Non-Vegetarian,Dinner,1 bowl,Kerala,90
Kootu,"Mixed vegetables, lentils, coconut, spices",150,15,5,7,Vegetarian,Lunch,1 bowl,Tamil Nadu,25
Kos kootu,"Cabbage, lentils, coconut, spices",120,10,7,5,Vegetarian,Lunch,1 bowl,Tamil Nadu,20
Koshambri,"Cucumber, lentils, coconut, coriander, lemon",120,10,6,6,Vegetarian,Snack,1/2 cup,Karnataka,25
Kothamali sadam,"Rice, coriander, lentils, spices",250,35,7,8,Vegetarian,Lunch,1 plate,Tamil Nadu,35
Kuzhakkattai,"Rice flour, coconut, jaggery",160,20,3,8,Vegetarian,Snack,2 pieces,Tamil Nadu,30
Kuzhambu,"Tamarind, vegetables, spices",150,15,5,7,Vegetarian,Lunch,1 bowl,Tamil Nadu,25
Masala Dosa,"Rice flour, lentils, potato, spices",250,30,7,12,Vegetarian,Breakfast,1 dosa,South India,30
Pachadi,"Yogurt, cucumber, coconut, spices",80,7,4,4,Vegetarian,Side Dish,1/2 cup,South India,15
Paniyaram,"Lentils, rice, spices",150,20,5,5,Vegetarian,Breakfast,3 pieces,Tamil Nadu,25
Papadum,"Lentil flour, spices, oil",50,5,2,3,Vegetarian,Side Dish,1 piece,South India,10
Paravannam,"Rice, milk, sugar, jaggery",220,30,6,8,Vegetarian,Dessert,1 cup,Tamil Nadu,30
Payasam,"Milk, vermicelli, sugar, nuts",250,30,7,12,Vegetarian,Dessert,1 cup,South India,35
Paruppu sadam,"Rice, lentils, ghee",200,30,7,5,Vegetarian,Lunch,1 plate,Tamil Nadu,30
Pesarattu,"Green gram, rice flour, spices",180,25,6,5,Vegetarian,Breakfast,1 dosa,Andhra Pradesh,25
Poriyal,"Vegetables, coconut, spices",80,7,4,4,Vegetarian,Side Dish,1/2 cup,South India,15
Puli sadam,"Rice, tamarind, spices",220,30,6,8,Vegetarian,Lunch,1 plate,Tamil Nadu,30
Rasam,"Tamarind, tomato, spices",50,5,2,2,Vegetarian,Lunch,1 bowl,South India,10
Puttu,"Rice flour, coconut",150,20,3,7,Vegetarian,Breakfast,2 pieces,Kerala,25
Sambar,"Lentils, vegetables, tamarind, spices",120,10,7,5,Vegetarian,Lunch,1 bowl,South India,20
Sandige,"Rice flour, spices",40,5,1,2,Vegetarian,Snack,2 pieces,Karnataka,10
Sevai,"Rice noodles, coconut, spices",200,25,4,8,Vegetarian,Breakfast,1 cup,Tamil Nadu,30
Thayir sadam,"Rice, yogurt, milk",150,20,5,5,Vegetarian,Lunch,1 plate,South India,20
Theeyal,"Mixed vegetables, roasted coconut, spices",220,20,8,12,Vegetarian,Lunch,1 bowl,Kerala,35
Uttapam,"Rice flour, lentils, vegetables, spices",200,25,7,8,Vegetarian,Breakfast,1 uttapam,South India,30
Vada,"Lentils, spices",150,15,5,7,Vegetarian,Snack,2 pieces,South India,25
Chicken Varuval,"Chicken, onion, spices",300,10,25,18,Non-Vegetarian,Dinner,1 bowl,Tamil Nadu,80
