meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,region,cost_per_serving_in_inr
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",,,,,vegetarian,,,West,
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",,,,,vegetarian,,,West,
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",,,,,vegetarian,,,West,
Ghooghra,"Dry fruits, semolina, all purpose flour",,,,,vegetarian,,,West,
Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",,,,,vegetarian,,,West,
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",,,,,vegetarian,,,West,
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",,,,,vegetarian,,,West,
Kansar,"Wheat flour, cashews, rapeseed oil",,,,,vegetarian,,,West,
Keri no ras,"Mango, sugar",,,,,vegetarian,,,West,
Khakhra,"Whole wheat flour, low fat, bengal gram flour",,,,,vegetarian,,,West,
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",,,,,vegetarian,,,West,
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",,,,,vegetarian,,,West,
Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",,,,,vegetarian,,,Central,
Koshimbir,"Cucumber, carrot, tomatoes, cilantro",,,,,vegetarian,,,West,
Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",,,,,vegetarian,,,West,
Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",,,,,vegetarian,,,West,
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",,,,,vegetarian,,,West,
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",,,,,vegetarian,,,West,
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",,,,,vegetarian,,,West,
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",,,,,vegetarian,,,West,
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",,,,,vegetarian,,,West,
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",,,,,vegetarian,,,West,
Sev tameta,"Sev, ginger, tomato, sugar",,,,,vegetarian,,,West,
Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",,,,,vegetarian,,,West,
Sukhdi,"Whole wheat flour, gur, clarified butter",,,,,vegetarian,,,West,
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",,,,,vegetarian,,,West,
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",,,,,vegetarian,,,West,
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",,,,,vegetarian,,,West,
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",,,,,vegetarian,,,West,
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",,,,,non vegetarian,,,West,
Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",,,,,vegetarian,,,West,
Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt",,,,,vegetarian,,,West,
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",,,,,vegetarian,,,West,
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",,,,,vegetarian,,,West,
Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper",,,,,vegetarian,,,West,
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",,,,,vegetarian,,,West,
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",,,,,vegetarian,,,West,
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",,,,,vegetarian,,,West,
Cheera Doi,"Rice, mango, curd",,,,,vegetarian,,,East,
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",,,,,vegetarian,,,North East,
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",,,,,vegetarian,,,North East,
Kumol Sawul,"Rice, eggs, carrot, beetroot",,,,,non vegetarian,,,North East,
Luchi,"Maida, vegetable oil",,,,,vegetarian,,,East,
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",,,,,non vegetarian,,,North East,
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",,,,,non vegetarian,,,North East,
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",,,,,vegetarian,,,North East,
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",,,,,non vegetarian,,,North East,
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",,,,,non vegetarian,,,North East,
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",,,,,vegetarian,,,North East,
Brown Rice,"Brown rice, soy sauce, olive oil",,,,,vegetarian,,,,
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",,,,,non vegetarian,,,East,
Goja,"Baking soda, clarified butter, oil, all purpose flour",,,,,vegetarian,,,East,
Hando Guri,"Jaggery, raisins",,,,,vegetarian,,,North East,
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",,,,,non vegetarian,,,North East,
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",,,,,non vegetarian,,,East,
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",,,,,non vegetarian,,,East,
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",,,,,vegetarian,,,North East,
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",,,,,non vegetarian,,,North East,
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",,,,,non vegetarian,,,North East,
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",,,,,non vegetarian,,,North East,
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",,,,,non vegetarian,,,North East,
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",,,,,vegetarian,,,East,
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",,,,,vegetarian,,,East,
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",,,,,vegetarian,,,North East,
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",,,,,vegetarian,,,North East,
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",,,,,non vegetarian,,,East,
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",,,,,vegetarian,,,,
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",,,,,vegetarian,,,East,
Til Pitha,"Glutinous rice, black sesame seeds, gur",,,,,vegetarian,,,North East,
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",,,,,vegetarian,,,West,
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",,,,,vegetarian,,,North,
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",,,,,vegetarian,,,Central,
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",,,,,vegetarian,,,West,
Paneer Butter Masala with Jeera Rice,,,,,,,,,,
Rajma Chawal,,,,,,,,,,
Hyderabadi Biryani,,,,,,,,,,
Masoor Dal Tadka with Basmati Rice,,,,,,,,,,
Aloo Paratha with Curd,,,,,,,,,,
Chole Bhature,,,,,,,,,,
Vegetable Pulao with Raita,,,,,,,,,,
Palak Paneer,,,,,,,,,,
Egg Curry,,,,,,,,,,
Paneer Kathi Roll,,,,,,,,,,
Paneer Paratha,,,,,,,,,,
Chicken Biryani,,,,,,,,,,
Khichdi,,,,,,,,,,
Bhindi Do Pyaza,,,,,,,,,,
Masala Bhindi,,,,,,,,,,
Chana Kulcha,,,,,,,,,,
Shahi Egg Curry,,,,,,,,,,
Dal Makhani,,,,,,,,,,
Punjabi Dal Tadka,,,,,,,,,,
Kashmiri Rajma,,,,,,,,,,
Paneer Tamatar Ki Subzi,,,,,,,,,,
Kashmiri Paneer,,,,,,,,,,
Paneer Pulao,,,,,,,,,,
Tawa Pulao,,,,,,,,,,
Aloo Fry,,,,,,,,,,
Raw Banana Methi Subzi,,,,,,,,,,
French Beans and Carrot Thoran,,,,,,,,,,
Pau Bhaji,,,,,,,,,,
Paneer Fishcakes with Chutney,,,,,,,,,,
Indian Spiced Pizza,,,,,,,,,,
Cardamom Chicken Gullfrazie,,,,,,,,,,
Chicken and Cashew Nut Curry,,,,,,,,,,
Spinach and Paneer Koftas,,,,,,,,,,
Achaari Salmon Wraps,,,,,,,,,,
Basmati Rice Pilaf with Apricots,,,,,,,,,,
Slow Cooker Chicken Curry,,,,,,,,,,
Paneer Pakoras,,,,,,,,,,
Sprouts Salad,,,,,,,,,,
Gujarati Kadhi,,,,,,,,,,
Brown Rice Bowl with Curried Roasted Cauliflower,,,,,,,,,,
Curried Chicken Salad,,,,,,,,,,
Lobster Rolls with Curry Mayonnaise,,,,,,,,,,
Crab and Coconut Samosas,,,,,,,,,,
Onion Bhajis,,,,,,,,,,
Daal,,,,,,,,,,
Daal Fry,,,,,,,,,,
Moong Dal Khichdi,,,,,,,,,,
Baingan Bharta,,,,,,,,,,
Mix Veg Curry,,,,,,,,,,
Lauki Kofta Curry,,,,,,,,,,
Methi Thepla (with curd),,,,,,,,,,
Stuffed Capsicum,,,,,,,,,,
Gajar ka Halwa (as dessert),,,,,,,,,,
Spinach Moong Dal Cheela,,,,,,,,,,
Protein Shake,,,,,,,,,,
Papaya,,,,,,,,,,
Multigrain Roti,,,,,,,,,,
Fish Curry,,,,,,,,,,
Greek Salad,,,,,,,,,,
Mushroom Matar Paneer Curry,,,,,,,,,,
Tofu Vegetable Salad,,,,,,,,,,
Overnight Oats Berries Bowl,,,,,,,,,,
Seasonal Fruit,,,,,,,,,,
Brown Rice,,,,,,,,,,
Lauki Chana Dal,,,,,,,,,,
Egg Curry (Anda Curry),,,,,,,,,,
Chana Salad,,,,,,,,,,
Quinoa Vegetable Khichdi,,,,,,,,,,
Shahi Paneer,,,,,,,,,,
Vegetable Salad,,,,,,,,,,
Boiled Eggs,,,,,,,,,,
Steamed Vegetables,,,,,,,,,,
Lemon Gravy Chicken,,,,,,,,,,
Greek Yogurt,,,,,,,,,,
Tofu Curry,,,,,,,,,,
Sprouts Salad,,,,,,,,,,
Apple Peanut Butter Smoothie (with Whey Protein),,,,,,,,,,
Multigrain Chapati,,,,,,,,,,
Egg Bhurji,,,,,,,,,,
Cucumber Raita,,,,,,,,,,
Sauteed Vegetables,,,,,,,,,,
Multigrain Millet Vegetable Khichdi,,,,,,,,,,
Curd,,,,,,,,,,
Paneer Bhurji,,,,,,,,,,
Low-fat Yogurt,,,,,,,,,,
Sprout Salad,,,,,,,,,,
Roasted Chickpeas,,,,,,,,,,
Mixed Vegetable Sabzi,,,,,,,,,,
Broccoli,,,,,,,,,,
Cauliflower,,,,,,,,,,
Whole Grain Toast (with Almond Butter or Avocado),,,,,,,,,,
Baked Sweet Potatoes,,,,,,,,,,
Whey Protein Shake,,,,,,,,,,
Dextrose Monohydrate (Post-Workout),,,,,,,,,,
Avocado and White Bean Salad (with Cheese Dressing),,,,,,,,,,
Chicken Broccoli Salad (with Flax Oil Dressing),,,,,,,,,,
Tandoori Chicken,,,,,,,,,,
Paneer Tikka,,,,,,,,,,
Dal Tadka,,,,,,,,,,
Mixed Bean Sabzi,,,,,,,,,,
Chickpea Salad,,,,,,,,,,
Lentil Soup (Dal),,,,,,,,,,
Grilled Chicken Breast,,,,,,,,,,
Cottage Cheese (Paneer),,,,,,,,,,
Greek Yogurt Parfait,,,,,,,,,,
Oats Porridge,,,,,,,,,,
Sweet Potato Chaat,,,,,,,,,,
"Fruit Salad (Banana, Apple, Blueberries, Mango)",,,,,,,,,,
Basmati Rice,,,,,,,,,,
Quinoa Pulao,,,,,,,,,,
Whole Wheat Roti,,,,,,,,,,
Almonds,,,,,,,,,,
Cashews,,,,,,,,,,
